index Rot.err.(deg/100m) Trans.err.(%) length speed
60 0.0002038067518389332 0.025073628832679527 400 17.167381974248926
60 0.00017606773457290217 0.026147697444573844 500 18.115942028985508
60 0.00015374499616964543 0.0343365345953193 600 18.633540372670804
60 0.00010406099283456976 0.0386555281517887 700 19.498607242339833
60 0.0001104246856650375 0.041506291253363574 800 19.753086419753085
70 0.00041119483240231036 0.017881811271959484 100 22.22222222222222
70 0.00020054321109684906 0.02768469675124434 200 20.0
70 0.0002090163079548652 0.027709536270044494 300 19.48051948051948
70 0.00022679166700363782 0.027191814913500204 400 17.094017094017094
70 0.00017934186858991973 0.029483697120355278 500 18.181818181818183
70 0.00015490034594107225 0.03657599824489368 600 18.75
70 8.941040601955828e-05 0.04015327680728569 700 19.6078431372549
70 0.00012233143336521455 0.04229745744315669 800 19.8019801980198
80 0.00030388214637083733 0.01431137117037607 100 22.727272727272727
80 0.000271932475091145 0.02034729684417194 200 19.41747572815534
80 0.00027307785013423405 0.026997377207098716 300 18.51851851851852
80 0.00023682665452006771 0.02602518070252697 400 17.094017094017094
80 0.0001713594452676515 0.03208120659397416 500 18.181818181818183
80 0.00013218945426340795 0.03822518781172293 600 18.808777429467085
80 7.762815450375278e-05 0.041804305664782465 700 19.6078431372549
80 0.00012196422836093707 0.04294924943485692 800 19.90049751243781
90 0.0002324930596339658 0.00892385780176954 100 22.727272727272727
90 0.00024107179510763857 0.013544087733450916 200 19.23076923076923
90 0.00027431751025851903 0.024107373321334134 300 16.39344262295082
90 0.00018497171476417003 0.024258840202268282 400 17.094017094017094
90 0.00013942694441372163 0.029959502889906457 500 17.985611510791365
90 0.0001241585232548222 0.034414093925429594 600 18.92744479495268
90 5.83834185085721e-05 0.037431590481097295 700 19.444444444444443
90 0.00010208520638159389 0.037515110068081815 800 19.950124688279303
100 0.00021430322991284622 0.014646917491852618 100 21.739130434782606
100 0.00028552382124277277 0.022753823864409065 200 18.867924528301884
100 0.00025430528233745574 0.02726915334609928 300 15.873015873015872
100 0.0002009765261356299 0.025460460871007732 400 17.167381974248926
100 0.0001438560936939964 0.030572660150244357 500 17.985611510791365
100 0.00010215595008308028 0.03338934148346213 600 18.987341772151897
100 0.00011181236520284493 0.03526034980259641 700 19.39058171745152
100 8.94727031415876e-05 0.03552929697184987 800 19.851116625310173
110 0.0004132961136813891 0.016042570063231506 100 18.181818181818183
110 0.000191449364510824 0.0195586124750307 200 18.34862385321101
110 0.00022380266923770548 0.024043433593331366 300 15.706806282722512
110 0.00016591581532930465 0.02587284489377497 400 17.241379310344826
110 0.00012651660328516184 0.030698647896504384 500 18.050541516245485
110 7.257178011672402e-05 0.03275744462398129 600 19.108280254777068
110 9.964135701154528e-05 0.034417570374051604 700 19.39058171745152
110 0.00013759686121817485 0.03474369422289494 800 19.51219512195122
120 0.0003044273773906809 0.011082230301617355 100 16.666666666666668
120 0.0002622024422465536 0.0200457321357882 200 17.391304347826086
120 0.00022360553881672443 0.022142864364211957 300 15.706806282722512
120 0.00015344150149528544 0.025569815340555815 400 17.241379310344826
120 0.00010186014695240938 0.028900381094308657 500 18.115942028985508
120 5.497715060839113e-05 0.030149636692321125 600 19.108280254777068
120 0.00010113060255685081 0.031150337059073562 700 19.444444444444443
120 8.225072235979434e-05 0.030481873313804853 800 19.047619047619047
